    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  482,         58739,           58268,          26005,      3697,        4308,       3001
  483,         59099,           58627,          25004,      3712,        4318,       4001
  484,         59246,           58773,          26005,      3724,        4328,       3000
  485,         59535,           59061,          28007,      3734,        4338,       4000
  486,         59740,           59265,          28004,      3730,        4348,       3001
  487,         59798,           59322,          26005,      3748,        4358,       3000
  488,         60237,           59760,          26005,      3755,        4368,       3000
  489,         60663,           60185,          28007,      3759,        4378,       4000
  490,         61055,           60576,          26005,      3772,        4388,       4000
  491,         61107,           60627,          26006,      3783,        4398,       3000
  492,         61592,           61111,          28005,      3799,        4408,       3000
  493,         61694,           61212,          27005,      3796,        4418,       4001
  494,         61882,           61399,          27005,      3821,        4428,       3000
  495,         62007,           61523,          27005,      3824,        4438,       3000
  496,         62437,           61952,          27005,      3822,        4448,       3001
  497,         62460,           61974,          27006,      3829,        4458,       3000
  498,         62619,           62132,          27005,      3829,        4468,       3000
